Id,Name,Rating,Discount(%),CashBack,Cost_for_Two(₹),City,Locality,Home_Delivery,Manu_Count
232,Waffle Works,3,5,30,300,Mumbai,Grant Road,FALSE,0
233,Faasos - Grant Road,3,10,75,500,Mumbai,Grant Road,TRUE,0
234,Wendys - Grant Road,3,10,75,500,Mumbai,Grant Road,TRUE,0
235,Oven Story - Grant Road,3,10,75,500,Mumbai,Grant Road,TRUE,0
236,Rivaaz,4.2,15,200,2000,Mumbai,Mumbai Central,FALSE,35
237,Wow! Momo,4.1,10,125,400,Mumbai,Grant Road,FALSE,2
238,Dios Hotel,5,10,175,1550,Mumbai,Khardi,FALSE,0
239,Qs Kitchen Kabab & Curries,2,10,50,500,Mumbai,Kamathipura,FALSE,0
240,Kulfi Story Mumbai,2,10,50,500,Mumbai,Tulsiwadi,FALSE,0
241,Kulfi Story,2,10,50,200,Mumbai,Tulsiwadi,FALSE,0
242,The Jalsa - By Nanumal Bhojraaj,2,10,50,500,Mumbai,Tardeo,FALSE,0
243,Jalsa,3.5,10,175,800,Mumbai,Khardi,FALSE,0
244,Belgian Brittle,2,10,50,350,Mumbai,Kamathipura,FALSE,0
245,Jalsa Nanumal Bhojraj,3.8,10,100,800,Mumbai,Khardi,FALSE,2
246,Sapana Papadwala,3.9,10,50,500,Mumbai,Grant Road,FALSE,0
247,Shri Delhi Bhojnalya,4.5,10,75,550,Mumbai,Kamathipura,FALSE,0
248,A One Cateen,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
249,G4 Namas,3.7,10,100,800,Mumbai,Khardi,FALSE,0
250,Green Park Restaurant & Bar,2,10,50,500,Mumbai,Tardeo,FALSE,0
251,Faasos,4.1,5,30,400,Mumbai,Grant Road,TRUE,2
252,Mandarin Oak- The Heavenly Chinese,3.8,5,30,600,Mumbai,Tardeo,FALSE,3
253,Bakingo,4.4,10,100,400,Mumbai,Grant Road,FALSE,4
254,Jamnagri Farsan & Sweets,2,10,50,500,Mumbai,Grant Road,FALSE,0
255,Punjab Sind,3,5,30,300,Mumbai,Grant Road,FALSE,0
256,Sai Malai Gola,3,5,30,200,Mumbai,Tardeo,FALSE,1
257,Geeta Bhavan,3.8,10,100,500,Mumbai,Grant Road,FALSE,6
258,Chinese Palace,3.5,10,200,900,Mumbai,Tardeo,FALSE,5
259,Nanaji's Fast Food,2,10,50,150,Mumbai,Tardeo,FALSE,11
260,Baraa Maa,2,10,50,300,Mumbai,Tardeo,FALSE,0
261,Kwality Wall's Frozen Dessert And Ice Cream Shop,2,10,50,300,Mumbai,Tardeo,FALSE,2
262,Grills@Rolls,3,5,30,200,Mumbai,Tardeo,FALSE,0
263,McCafe by McDonald's,4.6,10,100,400,Mumbai,Mumbai Central,FALSE,0
264,Smoor,4.8,5,30,600,Mumbai,Grant Road,TRUE,3
265,McDonald's,3.8,10,100,400,Mumbai,Mumbai Central,TRUE,16
266,Sai Gomantak,3.7,10,75,300,Mumbai,Tardeo,FALSE,5
267,Kota Kachori,2,10,100,500,Mumbai,Tulsiwadi,FALSE,0
268,Pizza Al Passeggio-Pizza On The Go,2,10,50,200,Mumbai,Tardeo,FALSE,0
269,Balaji Pure Veg,3,10,75,300,Mumbai,Grant Road,FALSE,11
270,The Local Bakes,3,5,30,500,Mumbai,Khardi,FALSE,0
271,Brewlette Gourmet Teas,2,10,50,300,Mumbai,Grant Road,FALSE,8
272,Tardeo Bakery,2,10,50,500,Mumbai,Tardeo,FALSE,0
273,Kusum. Bag,2,10,50,500,Mumbai,Kamathipura,FALSE,0
274,Taff Beverages Llp,3,5,30,500,Mumbai,Kamathipura,FALSE,0
275,Balaji Caters,3.9,10,50,500,Mumbai,Grant Road,FALSE,0
276,The Imperial Club - The Leela,2,10,50,500,Mumbai,Tardeo,FALSE,0
277,Betel Cutter,2,10,50,200,Mumbai,Grant Road,FALSE,2
278,Adraq,2,10,100,500,Mumbai,Tulsiwadi,FALSE,0
279,Mamaji's Grill and Pizza,4.2,10,50,200,Mumbai,Tardeo,FALSE,4
280,Adraq,2,10,100,500,Mumbai,Tulsiwadi,FALSE,9
281,Experience at the Table,2,10,50,500,Mumbai,Grant Road,FALSE,0
282,JD's Dosa And Pav Bhaji,3,10,75,500,Mumbai,Kamathipura,FALSE,2
283,Desserts Factory,2,10,50,300,Mumbai,Grant Road,FALSE,0
284,NH1 Bowls - Highway To North,4.4,5,30,500,Mumbai,Grant Road,FALSE,0
285,BOX8 - Desi Meals,2,10,100,500,Mumbai,Grant Road,FALSE,0
286,Leancrust Pizza - Thincrust Experts,4.3,10,100,800,Mumbai,Grant Road,FALSE,0
287,MOJO Pizza - 2X Toppings,2,10,100,600,Mumbai,Grant Road,FALSE,0
288,ZAZA Mughal Biryani,4.2,10,100,500,Mumbai,Grant Road,FALSE,2
289,BOOM Sandwich - Explosion of Flavours,4.3,10,100,400,Mumbai,Grant Road,FALSE,2
290,"WeFit - Bowls, Salads & Sandwiches",4.3,10,100,500,Mumbai,Grant Road,FALSE,2
291,Daily Kitchen - Homestyle Meals,4,10,100,400,Mumbai,Grant Road,FALSE,2
292,Hola Pasta - Fresh Gourmet Pasta,2,10,50,400,Mumbai,Grant Road,FALSE,11
293,"Bhatti Chicken - Grilled, NOT Fried!",4,10,75,400,Mumbai,Grant Road,FALSE,1
294,GLOBO Ice Creams Of The World,3.9,10,100,200,Mumbai,Grant Road,FALSE,0
295,Good Luck,4.1,10,75,300,Mumbai,Kamathipura,FALSE,3
296,Otawala Restaurant,2,10,50,500,Mumbai,Mumbai Central,FALSE,0
297,Grameen Kulfi,4.5,10,50,200,Mumbai,Tardeo,FALSE,1
298,Tejabhai Mithaiwala,3,5,30,800,Mumbai,Grant Road,FALSE,0
299,Snax & Shakes,3,5,30,300,Mumbai,Grant Road,FALSE,0
300,Wafflebay,3,10,75,300,Mumbai,Tardeo,FALSE,1
301,Lucky Restaurant,2,10,50,100,Mumbai,Mumbai Central,FALSE,5
302,Delicate'ssen,3.3,10,75,500,Mumbai,Mumbai Central,FALSE,0
303,Star Bakery,2,10,100,500,Mumbai,Kamathipura,FALSE,0
304,Nanajis Fast Food,3.1,10,100,500,Mumbai,Khardi,FALSE,3
305,Mealful Rolls - India's Biggest Rolls,4.4,10,100,400,Mumbai,Grant Road,FALSE,2
306,Itminaan Matka Biryani - Slow Cooked,4.3,5,30,700,Mumbai,Grant Road,FALSE,1
307,NIC ICE Creams,4.4,10,50,200,Mumbai,Tardeo,FALSE,0
308,Kolkata Cartel,4.1,10,50,400,Mumbai,Tardeo,FALSE,1
309,Tasty Cuisines,2,10,50,500,Mumbai,Grant Road,FALSE,1
310,Sadanand,3.7,1,10,250,Mumbai,Grant Road,FALSE,4
311,Gold Coins Restaurant,3.9,10,100,1200,Mumbai,Tardeo,FALSE,22
312,Mumtaz Restaurant,2,10,100,500,Mumbai,Kamathipura,FALSE,0
313,Retro Bar,2,10,50,500,Mumbai,Agripada,FALSE,0
314,Chik In Grill,2,10,50,500,Mumbai,Grant Road,FALSE,0
315,Rizwan And Usman Kebabs,3.7,10,50,200,Mumbai,Mumbai Central,FALSE,3
316,Della Fudge & Chikki Store,2,10,50,350,Mumbai,Grant Road,FALSE,1
317,Delicatessen,3.8,10,75,500,Mumbai,Byculla,FALSE,3
318,China Talk,3.3,10,100,600,Mumbai,Byculla,FALSE,1
319,Tandoor Mahal,3,5,30,500,Mumbai,Byculla,FALSE,1
320,Bombay Blues Shawarma,2,10,50,100,Mumbai,Grant Road,FALSE,1
321,The Breadstory,3.8,10,75,400,Mumbai,Mumbai Central,FALSE,2
322,Amore (ZFW),3,10,75,500,Mumbai,Tardeo,FALSE,0
323,Gold Coins Restaurant,4.4,10,50,500,Mumbai,Tardeo,FALSE,0
324,Yummy Tiffin,3,10,75,300,Mumbai,Agripada,FALSE,0
325,Celejor,4.1,10,75,300,Mumbai,Mumbai Central,FALSE,6
326,One Step Up,5,10,150,1500,Mumbai,Tardeo,FALSE,0
327,Arabia,4,10,50,500,Mumbai,Kamathipura,FALSE,13
328,Tokyo Treat Japanese Restaurant,2,10,50,500,Mumbai,Tardeo,FALSE,0
329,Nagina Restaurant & Bar,2,10,100,900,Mumbai,Grant Road,FALSE,0
330,Delhi Taste By A-1 Fish Koliwada,2,10,50,300,Mumbai,Grant Road,FALSE,13
